nodesExpanded	Heuristico final	Texec	nodesExpanded.1	Heuristico final.1	Texec.1	nodesExpanded.2	Heuristico final.2	Texec.2	nodesExpanded.3	Heuristico final.3	Texec.3
91	1310.9129209572616	5433	92	1304.2200430396808	5448	69	1295.2517366471893	4969	90	1289.4860586500688	5238
84	1295.0416078267817	4594	79	1346.7145907705576	5198	100	1292.909630051038	5954	92	1292.9247745646408	5291
69	1572.0692973444243	4373	74	1554.2546338525967	7951	97	1527.1982447109865	6534	76	1552.517808623082	4146
65	1549.985869143656	3669	75	1611.4183998301396	5145	81	1536.7976713149114	4859	77	1516.960438638448	4938
