	Swap			Reasignar general			Reasignar reducido			Swap+general			Swap+reducido					Swap			Reasignar general			Reasignar reducido			Swap+general			Swap+reducido											
	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final			Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final	Texec	Nodos expandidos	Heurístico final		t de Student	S+RG	S+S&RG	S+S&RR	RG+S&RG	RG+S&RR	S&RG+S&RR	S&RG+RR
	4073	87	2397.147631	3706	44	2951.665255	52	1	3869.51234	12030	109	2351.952277	4329	91	2416.567485																										
	4490	104	2385.097654	3649	44	2859.704087	68	8	3847.024975	10520	99	2325.855453	4824	105	2342.861415																										
	6051	125	2361.944561	4218	53	2818.438196	63	5	3723.850424	10175	96	2371.158397	5485	119	2323.343077																										
	4072	91	2433.288588	4480	59	2797.84365	65	5	3726.705489	14182	139	2281.430236	5211	106	2472.962517																										
	4089	94	2336.706607	5473	76	2862.449937	73	10	3649.008087	12166	117	2333.485401	4839	96	2394.131168																										
	4361	97	2386.930304	4104	51	2876.78313	71	10	3720.615829	14257	139	2290.585769	5919	128	2345.23745																										
	4372	101	2435.638297	3933	52	2933.281158	72	9	3852.923054	10847	98	2320.961109	4771	99	2447.48738																										
1,004.00	4487	100	2298.632117	4707	62	2655.265102	62	4	3742.112894	11726	107	2235.068264	6068	130	2170.483665																										
	4040	92	2308.565812	3206	36	3038.811775	73	12	3738.252692	10763	100	2264.622301	5331	118	2296.147208																										
	4852	116	2274.861264	4217	51	2971.65892	75	13	3699.289359	10324	96	2266.337149	5105	113	2233.950071																										
	4824	106	2249.946797	4148	53	2846.395852	54	2	3858.811357	12782	122	2233.874443	5317	125	2271.681617																										
	5037	108	2282.716671	5463	73	2572.587606	62	5	3826.996656	12201	119	2195.739793	4858	104	2172.031257																										
	4897	112	2356.543189	6243	89	2524.56341	62	5	3656.535925	11628	112	2222.687826	4699	106	2277.399097																										
	4002	89	2268.808084	6090	88	2657.32167	71	8	3852.001692	11311	105	2248.654902	4113	92	2418.860767																										
	4371	104	2279.083995	5216	72	2813.937227	72	10	3625.980239	11941	109	2190.536028	4788	100	2300.878521																										
	5006	113	2223.417002	4364	61	2709.328884	63	5	3776.734219	12531	114	2235.497324	4212	95	2363.362079																										
	4975	122	2242.07494	5135	70	2680.292936	67	8	3615.699625	12284	108	2222.541656	5119	121	2201.638694																										
1,005.00	5068	108	2244.594136	4101	52	2844.454723	61	5	3578.961762	11392	107	2187.341493	4524	100	2349.046998																										
	5288	102	2327.723839	5211	70	2586.825194	60	4	3694.735375	9738	90	2257.576528	4828	109	2246.729974																										
	4579	103	2214.113492	4498	59	2799.503257	74	8	3699.317082	11124	107	2218.940649	4727	110	2225.601895																										
	4414	91	2291.016935	3235	37	2911.821437	58	4	3731.780053	9819	92	2191.456736	4777	107	2267.029917																										
	4766	107	2224.710666	5049	69	2691.749439	58	3	3617.252656	9944	95	2205.14435	4469	100	2232.227427																										
	4598	97	2195.495333	3494	41	2902.606727	62	4	3771.873062	10926	103	2211.218384	5065	112	2162.475534																										
	4920	113	2166.488008	4636	56	2733.060414	69	6	3670.643104	11848	109	2262.353321	5010	114	2277.426122																										
	5155	111	2218.201558	4148	52	2728.293114	66	8	3548.521089	11670	103	2190.936174	4165	92	2252.071487																										
	4252	97	2244.258435	4410	58	2776.947883	72	10	3624.609865	11971	106	2170.919698	4354	95	2215.581047																										
	3954	88	2206.009677	4509	59	2687.606277	66	6	3737.650334	12444	109	2224.877474	3979	88	2259.432422																										
1,006.00	4418	101	2582.367398	5341	74	2717.049814	82	13	3827.830106	12081	108	2424.022486	4717	111	2521.17816																										
	5109	112	2495.449055	5557	78	2861.628859	64	5	3811.344626	12692	112	2444.612361	5454	131	2499.565251																										
	4053	90	2471.447124	5396	75	2745.750722	65	3	3997.384013	12202	106	2498.183902	4215	87	2613.386357																										
	4539	100	2509.881853	5881	83	2835.146811	70	8	3829.377392	11861	109	2401.226983	4491	96	2545.341175																										
	5723	127	2424.03865	5441	78	2776.272673	59	4	3917.327222	10532	99	2491.665104	5171	122	2440.574065																										
	5394	123	2596.98841	6421	92	2696.804946	72	8	3956.855641	12483	116	2461.190237	4489	103	2550.843983																										
	5108	120	2480.485079	4972	65	2876.306177	61	5	3667.803266	11859	116	2403.596214	4932	115	2512.052467																										
	4191	96	2483.801241	4996	68	2930.408759	68	7	3907.535101	12619	120	2465.247599	4174	93	2478.35954																										
	5172	115	2584.544157	5445	77	2880.202412	73	8	4009.376028	11631	109	2462.748767	4267	94	2572.527558																										
	3956	90	2560.100558	6395	93	2698.08869	68	9	3904.526537	11370	106	2452.140629	5558	135	2434.299467																										
1,007.00	4300	99	2457.404839	4951	66	2791.9425	66	5	3905.060906	10850	100	2481.480924	3777	82	2596.023294																										
	4369	101	2472.429811	5854	81	2693.638517	58	3	3945.105073	12905	121	2383.225159	4762	103	2475.103221																										
	4666	109	2523.766355	4812	58	2867.968955	79	7	3699.540727	11168	108	2482.264377	3840	87	2548.744099																										
	4519	106	2466.574212	4913	63	2820.839415	80	10	3847.955487	12292	113	2369.882677	4084	88	2523.448256																										
	4004	90	2503.13899	4761	64	2789.769774	67	11	3680.029257	11799	114	2450.700406	5211	112	2543.901255																										
	4982	115	2437.176811	5043	69	2886.222899	57	3	3851.562933	11177	106	2317.113111	4560	103	2461.628129																										
	5411	113	2540.495977	5785	82	2729.935621	84	5	3858.979307	10198	93	2450.123353	4364	96	2564.581944																										
	4332	90	2564.477489	5609	78	2592.461134	61	4	3985.135523	12074	110	2428.47792	5050	115	2450.248533																										
	4526	91	2584.940729	5050	70	2839.804787	56	4	3977.81889	12609	112	2439.920281	4596	95	2498.118817																										
	4661	108	2570.779891	5122	68	2927.881141	64	8	3750.000322	10980	98	2440.71303	4788	91	2582.191756																										
1,008.00	4302	96	2336.061951	3651	44	2717.446946	65	6	3528.288732	11158	102	2276.509927	4328	91	2302.086811																										
	4568	101	2264.885116	4092	55	2752.207519	61	3	3527.800552	10575	98	2335.453058	4466	91	2292.273861																										
	4669	100	2320.474043	4970	66	2603.247049	80	7	3597.311812	12230	110	2267.315807	4155	94	2308.192559																										
	4627	105	2294.267554	3872	48	2696.44263	61	4	3544.940027	9452	88	2273.174662	3927	83	2320.785466																										
	4177	96	2324.629661	5526	76	2652.932385	80	7	3542.130394	10165	94	2288.755383	4540	100	2317.242852																										
	5076	121	2332.406554	4186	54	2725.707467	58	3	3641.631892	11586	104	2231.145283	4462	98	2303.624064																										
	4211	90	2332.086711	4329	57	2747.047366	66	7	3680.333468	12080	114	2260.128591	4432	98	2327.72278																										
	4499	100	2260.155999	5130	65	2814.240091	84	3	3684.152478	10338	100	2281.226	4185	92	2294.932247																										
	4225	96	2329.956536	4218	56	2701.996445	76	5	3690.709645	9953	91	2273.250749	4402	101	2286.827769																										
	4736	109	2306.579965	4043	51	2789.10651	64	5	3577.157145	11368	108	2273.371208	4525	104	2333.946018																										
1,009.00	4489	103	2132.300918	4793	64	2670.048759	70	8	3528.455927	11040	105	2143.415059	4647	100	2249.683472																										
	5038	109	2174.017235	4853	65	2548.909856	80	11	3579.112996	13861	136	2095.248625	5598	114	2341.084655																										
	5434	128	2174.852542	4235	53	2758.545655	57	3	3727.275693	11504	110	2143.140403	5112	113	2073.75254																										
	4741	104	2247.287504	4790	59	2717.2172	65	4	3449.672485	13225	128	2168.032672	5181	101	2302.415109																										
	5052	119	2200.242199	4526	53	2739.862448	77	3	3646.946644	10295	98	2151.401779	5256	108	2119.998058																										
	4303	97	2126.203729	5008	69	2660.762942	65	4	3758.882945	13592	130	2086.052746	3978	88	2183.199087																										
	4814	109	2163.379553	4488	60	2714.988625	69	7	3454.45343	10894	104	2106.413526	5485	129	2195.252828																										
	4916	108	2203.142124	5375	73	2672.540259	68	8	3421.306506	9391	86	2191.808399	5270	129	2155.760916																										
	4564	106	2211.436849	4630	61	2756.748056	99	6	3749.771229	10404	99	2143.532147	4937	103	2180.832458																										
	4760	112	2165.256353	4868	61	2616.718418	83	7	3586.440006	12508	123	2090.53207	4371	103	2154.128709																										
