Texec	nodesExpanded	Heuristico final
24175	133	2212.877939762858
27333	142	2539.4719665976886
24509	135	2262.786445300795
25426	145	2443.949664784707
25824	153	2188.877719592522
22197	112	2277.359502817576
26095	137	2529.375671795146
27447	160	2469.932910031926
22729	110	2415.247384127635
20977	123	2365.146194377802
